Index,Title,Tags,Type,Language,Seasons,Z0XM,Imtiyaz,Lights,Legend,DeadPoOl,AvgRating
578,Yevadu,"Drama, Action, Thriller",Movie,Telugu,,,9,5,,,7
577,Raya and Last Dragon,"Adventure, Fantasy",Animated Movie,English,,,6.5,5,,,5.75
576,Pitch Perfect 2,"Comedy, Musical",Movie,English,,,5,5,,,5
575,Tom and Jerry - The Live Adaption,"Drama, Comedy, Adventure",Movie,English,,,5,5,,,5
574,Saina,"Drama, Sports, Real Incident",Movie,Hindi,,,,5,5,,5
573,Bagghi 2,"Romance, Action, Thriller",Movie,Hindi,,,6,5,6.5,7,6.13
572,No Hard Feelings,"Comedy, Romance",Movie,English,,,3,5,,5,4.33
570,Dune 2,"Action, Fantasy, Sci-Fi, Thriller, SuperPowers",Movie,English,,,10,5,,,7.5
565,Valerian and the City of Thousand Planets,"Adventure, Action, Sci-Fi",Movie,English,,,10,5,,,7.5
564,Star Trek Beyond,"Adventure, Action, Sci-Fi",Movie,English,,,8.5,5,,,6.75
563,Terminator : Dark Fate,"Action, Sci-Fi, Thriller",Movie,English,,,7.5,5,,,6.25
562,Moonfall,"Sci-Fi, Thriller, Gods & Demons, SuperPowers",Movie,English,,,7,5,,,6
561,Dark Phoenix,"Action, Fantasy, Sci-Fi, Thriller, SuperPowers",Movie,English,,,6.5,5,,,5.75
560,Terminator : Salvation,"Action, Sci-Fi, Thriller",Movie,English,,,5.5,5,,,5.25
559,Star Wars: Solo,"Adventure, Action, Sci-Fi",Movie,English,,,,5,,,5
558,Hollow Man,"Sci-Fi, Horror, Thriller",Movie,English,,,2,5,,,3.5
555,The Grudge,"Horror, Thriller, Mystery",Movie,English,,,,4,,,4
554,Back to the Future 3,"Comedy, Adventure, Sci-Fi",Movie,English,,,,4,,,4
552,Dora and the Lost City of Gold,"Comedy, Fantasy, Thriller, Mystery",Movie,English,,,2,2,,,2
548,Gladiator 2,"Drama, Adventure, Action",Movie,English,,,,1,,,1
547,Princess Diaries,"Drama, Romance",Movie,English,,,,1,,,1
490,Hunter X Hunter ,"Comedy, Action, Fantasy, Classic, Magic",Animated Series,Japanese,6,,♾️,,,,♾️
489,Haikyuu,"Drama, Life, Feel Good, Sports",Animated Series,Japanese,4,,♾️,,,,♾️
487,86 - Eighty Six ,"Action, Sci-Fi, Thriller, War",Animated Series,Japanese,2,,♾️,,,,♾️
475,Sherlock Holmes (2009),"Adventure, Action, Mystery",Movie,English,,,9.5,,,,9.5
474,Sherlock Holmes: A Game of Shadows,"Adventure, Action, Mystery",Movie,English,,,9,,,,9
472,Haikyuu Dumpster Battle,"Drama, Sports",Animated Movie,Japanese,,,♾️,,,,♾️
465,Shangri-La Frontier,"Action, Fantasy, Sci-Fi, Magic",Animated Series,Japanese,2,,10,,,,10
464,Binchou Tan,"Life, Feel Good, Classic",Animated Series,Japanese,1,,10,,,,10
463,Buddy Daddies,"Drama, Comedy, Life, Feel Good, Action",Animated Series,Japanese,1,,10,,,,10
462,Juni Taisen : Zodiac War,"Action, Fantasy, Thriller, SuperPowers",Animated Series,Japanese,1,,10,,,,10
461,Masterful Cat is depressed again today,"Drama, Comedy, Life, Feel Good, Different",Animated Series,Japanese,1,,10,,,,10
460,School Babysitters,"Drama, Comedy, Life, Feel Good",Animated Series,Japanese,1,,10,,,,10
459,"Love, Death and Robots","Fantasy, Sci-Fi, Mystery, Different",Series,English,3,,♾️,,,,♾️
458,Death's Game,"Drama, Life, Fantasy, Crime, Thriller, Gods & Demons, Magic",Series,Korean,1,,♾️,,,,♾️
457,W : Two Worlds,"Drama, Fantasy, Thriller, Mystery, Magic",Series,Korean,1,,♾️,,,,♾️
456,Mashle Magic and Muscles,"Drama, Comedy, Action, Fantasy, Magic",Animated Series,Japanese,2,,9.5,,,,9.5
455,Wu Shan Wu Xing: Xi Chuan Huan Zi Lin,"Action, Fantasy, Gods & Demons, Magic",Animated Series,Chinese,2,,♾️,,,,♾️
454,X-Men '97 - New,"Adventure, Action, Sci-Fi, SuperPowers",Animated Series,English,1,,♾️,,,,♾️
453,Hell's Paradise,"Action, Fantasy, Thriller, Mystery, Dark Comedy, Gods & Demons, Magic",Animated Series,Japanese,1,,9.5,,,,9.5
452,LBX - Little Battler's Experience Wars,"Adventure, Action, Sci-Fi, Classic, War, Different",Animated Series,Japanese,1,,9.5,,,,9.5
450,Big Mouth,"Drama, Crime, Thriller, Mystery",Series,Korean,1,,10,,,,10
449,Vincenzo,"Drama, Comedy, Crime, Mystery",Series,Korean,1,,10,,,,10
448,Vivy - Fluorite Eye's Song,"Action, Sci-Fi, Thriller, War, SuperPowers",Animated Series,Japanese,1,,9.5,,,,9.5
446,Devil is a part timer,"Comedy, Fantasy, Gods & Demons, Magic",Animated Series,Japanese,2,,9,,,,9
444,X-Men 97 - Original,"Adventure, Action, Sci-Fi, SuperPowers",Animated Series,English,5,,9.5,,,,9.5
443,Komi Can't Communicate,"Drama, Comedy, Life, Feel Good",Animated Series,Japanese,2,,9,,,,9
442,Way of the Househusband,"Drama, Comedy, Life, Feel Good",Animated Series,Japanese,2,,9,,,,9
441,LBX - Little Battler's Experience,"Adventure, Action, Sci-Fi, Classic, Different",Animated Series,Japanese,1,,9,,,,9
440,Miss Koboyashi's Dragon Maid S,"Drama, Comedy, Life, Feel Good, Fantasy, Magic",Animated Series,Japanese,1,,9,,,,9
